Dalvik/1.4.0 (Linux; U; Android 2.3.6; GT-I9070 Build/GINGERBREAD)
Dalvik/1.4.0 (Linux; U; Android 2.3.7; ST25i Build/6.0.B.3.184)
Dalvik/1.6.0 (Linux; U; Android 4.0.4; Bs 401 Build/HuaweiU8825-1)
Dalvik/1.6.0 (Linux; U; Android 4.1.2; GT-I8190 Build/JZO54K)
Dalvik/1.6.0 (Linux; U; Android 4.1.2; GT-I8552B Build/JZO54K)
Dalvik/1.6.0 (Linux; U; Android 4.1.2; GT-I8730 Build/JZO54K)
Dalvik/1.6.0 (Linux; U; Android 4.1.2; GT-I9082 Build/JZO54K)
Dalvik/1.6.0 (Linux; U; Android 4.1.2; GT-P3110 Build/JZO54K)
Dalvik/1.6.0 (Linux; U; Android 4.1.2; GT-P5110 Build/JZO54K)
Dalvik/1.6.0 (Linux; U; Android 4.1.2; LG-P710 Build/JZO54K)
Dalvik/1.6.0 (Linux; U; Android 4.1.2; SHW-M480W Build/JZO54K)
Dalvik/1.6.0 (Linux; U; Android 4.2.1; Lenovo S820_ROW Build/JOP40D)
Dalvik/1.6.0 (Linux; U; Android 4.2.2; C2104 Build/15.3.A.1.14)
Dalvik/1.6.0 (Linux; U; Android 4.2.2; E500 Build/X50D)
Dalvik/1.6.0 (Linux; U; Android 4.2.2; GT-I9060 Build/JDQ39)
Dalvik/1.6.0 (Linux; U; Android 4.2.2; GT-I9063T Build/JDQ39)
Dalvik/1.6.0 (Linux; U; Android 4.2.2; GT-S7275R Build/JDQ39)
Dalvik/1.6.0 (Linux; U; Android 4.2.2; GT-S7582L Build/JDQ39)
Dalvik/1.6.0 (Linux; U; Android 4.2.2; HTC Desire 310 Build/JDQ39)
Dalvik/1.6.0 (Linux; U; Android 4.2.2; HUAWEI Y330-U01 Build/HuaweiY330-U01)
Dalvik/1.6.0 (Linux; U; Android 4.2.2; Hudl HT7S3 Build/JDQ39)
Dalvik/1.6.0 (Linux; U; Android 4.2.2; Lenovo S6000L-F Build/JDQ39)
Dalvik/1.6.0 (Linux; U; Android 4.2.2; Lenovo S660 Build/JDQ39)
Dalvik/1.6.0 (Linux; U; Android 4.2.2; ME173X Build/JDQ39)
Dalvik/1.6.0 (Linux; U; Android 4.2.2; ONE TOUCH 4015D Build/JDQ39)
Dalvik/1.6.0 (Linux; U; Android 4.2.2; PMT5487_3G Build/JDQ39)
Dalvik/1.6.0 (Linux; U; Android 4.2.2; RAINBOW Build/JDQ39)
Dalvik/1.6.0 (Linux; U; Android 4.2.2; SM-T110 Build/JDQ39)
Dalvik/1.6.0 (Linux; U; Android 4.2.2; STARTRAIL5 Build/JDQ39)
Dalvik/1.6.0 (Linux; U; Android 4.3; LT30p Build/9.2.A.1.199)
Dalvik/1.6.0 (Linux; U; Android 4.3; Lenovo B8080-F Build/JLS36C)
Dalvik/1.6.0 (Linux; U; Android 4.4.2; A1-810 Build/KOT49H)
Dalvik/1.6.0 (Linux; U; Android 4.4.2; Archos 101d Neon Build/KOT49H)
Dalvik/1.6.0 (Linux; U; Android 4.4.2; Archos 50b Neon Build/KOT49H)
Dalvik/1.6.0 (Linux; U; Android 4.4.2; B1-730HD Build/KOT49H)
Dalvik/1.6.0 (Linux; U; Android 4.4.2; BIRDY Build/KOT49H)
Dalvik/1.6.0 (Linux; U; Android 4.4.2; D2114 Build/20.1.B.2.30)
Dalvik/1.6.0 (Linux; U; Android 4.4.2; GT-I9192 Build/KOT49H)
Dalvik/1.6.0 (Linux; U; Android 4.4.2; GT-I9301I Build/KOT49H)
Dalvik/1.6.0 (Linux; U; Android 4.4.2; GT-P5210 Build/KOT49H)
Dalvik/1.6.0 (Linux; U; Android 4.4.2; GT-P5220 Build/KOT49H)
Dalvik/1.6.0 (Linux; U; Android 4.4.2; Hudl 2 Build/KOT49H)
Dalvik/1.6.0 (Linux; U; Android 4.4.2; K01E Build/KOT49H)
Dalvik/1.6.0 (Linux; U; Android 4.4.2; LG-D175f Build/KOT49I.A1441096475)
Dalvik/1.6.0 (Linux; U; Android 4.4.2; LG-D295 Build/KOT49I)
Dalvik/1.6.0 (Linux; U; Android 4.4.2; LG-D331 Build/KOT49I.A1413907724)
Dalvik/1.6.0 (Linux; U; Android 4.4.2; Lenovo A3500-FL Build/KOT49H)
Dalvik/1.6.0 (Linux; U; Android 4.4.2; Lenovo A5000 Build/KOT49H)
Dalvik/1.6.0 (Linux; U; Android 4.4.2; Lenovo A536 Build/KOT49H)
Dalvik/1.6.0 (Linux; U; Android 4.4.2; Lenovo S850 Build/KOT49H)
Dalvik/1.6.0 (Linux; U; Android 4.4.2; Lenovo TAB 2 A7-30DC Build/KOT49H)
Dalvik/1.6.0 (Linux; U; Android 4.4.2; Lenovo TAB 2 A7-30HC Build/KOT49H)
Dalvik/1.6.0 (Linux; U; Android 4.4.2; LenovoA3300-GV Build/KOT49H)
Dalvik/1.6.0 (Linux; U; Android 4.4.2; MID4X10 Build/KVT49L)
Dalvik/1.6.0 (Linux; U; Android 4.4.2; MediaPad 10 Link+ Build/HuaweiMediaPad)
Dalvik/1.6.0 (Linux; U; Android 4.4.2; Micromax A106 Build/KOT49H)
Dalvik/1.6.0 (Linux; U; Android 4.4.2; NABI2-NV7A Build/KOT49H)
Dalvik/1.6.0 (Linux; U; Android 4.4.2; QMV7B Build/KOT49H)
Dalvik/1.6.0 (Linux; U; Android 4.4.2; RAINBOW 4G Build/KOT49H)
Dalvik/1.6.0 (Linux; U; Android 4.4.2; SAMSUNG-SM-T337A Build/KOT49H)
Dalvik/1.6.0 (Linux; U; Android 4.4.2; SM-G310HN Build/KOT49H)
Dalvik/1.6.0 (Linux; U; Android 4.4.2; SM-G800F Build/KOT49H)
Dalvik/1.6.0 (Linux; U; Android 4.4.2; SM-T210 Build/KOT49H)
Dalvik/1.6.0 (Linux; U; Android 4.4.2; SM-T230 Build/KOT49H)
Dalvik/1.6.0 (Linux; U; Android 4.4.2; SM-T330NU Build/KOT49H)
Dalvik/1.6.0 (Linux; U; Android 4.4.2; SM-T530 Build/KOT49H)
Dalvik/1.6.0 (Linux; U; Android 4.4.2; T1 7.0 Build/HuaweiMediaPad)
